householdId,timestamp,reading
1,1730475389584,73.09
2,1730475389584,41.01
3,1730475389584,20.77
4,1730475389584,33.27
5,1730475389584,96.78
6,1730475389584,0.61
7,1730475389584,96.37
8,1730475389584,93.99
9,1730475389584,94.72
10,1730475389584,93.71
11,1730475389584,0.10
1,1730478989584,34.75
2,1730478989584,29.41
3,1730478989584,50.65
4,1730478989584,11.60
5,1730478989584,77.05
6,1730478989584,65.99
7,1730478989584,15.67
8,1730478989584,37.82
9,1730478989585,13.98
10,1730478989585,69.49
11,1730478989585,1.10
1,1730482589585,0.50
2,1730482589585,52.31
3,1730482589585,74.40
4,1730482589585,14.20
5,1730482589585,48.17
6,1730482589585,54.46
7,1730482589585,57.71
8,1730482589585,20.49
9,1730482589585,62.34
10,1730482589585,18.47
11,1730482589585,2.10
1,1730486189585,16.10
2,1730486189585,17.81
3,1730486189585,54.04
4,1730486189585,97.38
5,1730486189585,24.54
6,1730486189585,39.45
7,1730486189585,21.76
8,1730486189585,43.20
9,1730486189585,23.32
10,1730486189585,88.99
11,1730486189585,3.10
1,1730489789585,59.24
2,1730489789586,65.52
3,1730489789586,11.98
4,1730489789586,65.25
5,1730489789586,98.43
6,1730489789586,20.67
7,1730489789586,37.46
8,1730489789586,46.33
9,1730489789586,33.36
10,1730489789586,44.32
11,1730489789586,4.10
1,1730493389586,99.90
2,1730493389586,63.04
3,1730493389586,90.96
4,1730493389586,50.77
5,1730493389586,49.15
6,1730493389586,42.88
7,1730493389586,30.81
8,1730493389586,71.73
9,1730493389586,96.24
10,1730493389586,20.95
11,1730493389586,5.10
1,1730496989586,54.90
2,1730496989586,55.55
3,1730496989586,58.78
4,1730496989586,78.92
5,1730496989586,69.90
6,1730496989586,20.46
7,1730496989587,25.49
8,1730496989587,77.79
9,1730496989587,22.50
10,1730496989587,98.31
11,1730496989587,6.10
1,1730500589587,83.63
2,1730500589587,16.31
3,1730500589587,63.75
4,1730500589587,0.88
5,1730500589587,63.12
6,1730500589587,20.80
7,1730500589587,88.04
8,1730500589587,70.70
9,1730500589587,72.34
10,1730500589587,50.95
11,1730500589587,7.10
1,1730504189587,15.32
2,1730504189587,71.06
3,1730504189587,82.40
4,1730504189587,12.37
